Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,popularity,avgScore,tags,Genres,Themes,Settings,Tone/Mood,Audience,Writing Style,Features,Time Period
"An inquiry into the nature and causes of the wealth of nations,","The annual labour of every nation is the fund which originally supplies it with all the necessaries and conveniencies of life which it annually consumes, and which consist always either in the immediate produce of that labour, or in what is purchased with that produce from other nations. According, therefore, as this produce, or what is purchased with it, bears a greater or smaller proportion to the number of those who are to consume it, the nation will be better or worse supplied with all the necessaries and conveniencies for which it has occasion.",['Adam Smith'],http://books.google.com/books/content?id=C5dNAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=C5dNAAAAcAAJ&printsec=frontcover&dq=An+inquiry+into+the+nature+and+causes+of+the+wealth+of+nations,&hl=&cd=1&source=gbs_api",London : Printed for W. Strahan and T. Cadell,1776-01-01,https://play.google.com/store/books/details?id=C5dNAAAAcAAJ&source=gbs_api,['Capitalism'],598,4.073578595317726,"Here are the tags that fit best for the book ""An Inquiry into the Nature and Causes of the Wealth of Nations"" by Adam Smith:

### Genres

- Non-Fiction
- Economics

### Themes

- Economy
- Wealth
- Labor
- Consumption
- Production
- Trade
- Nation
- Society

### Settings

- Historical Era (18th century)

### Tone/Mood

- Analytical
- Instructive
- Informative
- Serious

### Audience

- Adult
- Academic

### Writing Style

- Descriptive
- Analytical
- Informative
- Stream of Consciousness

### Features

- Economic concepts
- Historical context

### Time Period

- 18th century","Non-Fiction, Economics","Economy, Wealth, Labor, Consumption, Production, Trade, Nation, Society",Historical Era (18th century),"Analytical, Instructive, Informative, Serious","Adult, Academic","Descriptive, Analytical, Informative, Stream of Consciousness","Economic concepts, Historical context",18th century
The No. 1 Ladies' Detective Agency,"Wayward daughters. Missing Husbands. Philandering partners. Curious conmen. If you've got a problem, and no one else can help you, then pay a visit to Precious Ramotswe, Botswana's only - and finest - female private detective. Her methods may not be conventional, and her manner not exactly Miss Marple, but she's got warmth, wit and canny intuition on her side, not to mention Mr J. L. B. Matekoni, the charming proprietor of Tlokweng Road Speedy Motors. And Precious is going to need them all as she sets out on the trail of a missing child, a case that tumbles our heroine into a hotbed of strange situations and more than a little danger . . . Delightfully different, THE NO.1 LADIES' DETECTIVE AGENCY offers a captivating glimpse of an unusual world.",['Alexander McCall Smith'],http://books.google.com/books/content?id=CCSQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=CCSQPwAACAAJ&dq=The+No.+1+Ladies%27+Detective+Agency&hl=&cd=1&source=gbs_api,Abacus Software,2008-01-01,http://books.google.nl/books?id=CCSQPwAACAAJ&dq=The+No.+1+Ladies%27+Detective+Agency&hl=&source=gbs_api,['Botswana'],509,4.322200392927308,"Here are the chosen tags:

### Genres

- Mystery
- Detective Fiction

### Themes

- Mystery Solving
- Friendship
- Family
- Identity

### Settings

- Contemporary
- Botswana

### Tone/Mood

- Humorous
- Suspenseful
- Heartwarming

### Audience

- Adult
- All Ages

### Writing Style

- Third-Person Narrative
- Descriptive
- Dialogue-Driven

### Features

- Detective Work
- Mystery Solving
- Quest

### Time Period

- Contemporary","Mystery, Detective Fiction","Mystery Solving, Friendship, Family, Identity","Contemporary, Botswana","Humorous, Suspenseful, Heartwarming","Adult, All Ages","Third-Person Narrative, Descriptive, Dialogue-Driven","Detective Work, Mystery Solving, Quest",Contemporary
"Whitney, My Love","Let New York Times bestselling author Judith McNaught who “is in a class by herself” (USA TODAY) sweep you off your feet and into another time with her sensual, passionate, and spellbinding historical romance classics, featuring her “unique magic” (RT Book Reviews)—now available for the first time on ebook. A saucy spitfire who has grown into a ravishing young woman, Whitney Stone returns from her triumphant time in Paris society to England. She plans on marrying her childhood sweetheart, only to discover she has been bargained away by her bankrupt father to the arrogant and alluring Clayton Westmoreland, the Duke of Claymore. Outraged, she defies her new lord. But even as his smoldering passion seduces her into a gathering storm of desire, Whitney cannot—will not—relinquish her dream of perfect love. Rich with emotion, brimming with laughter and tears, Whitney, My Love is “the ultimate love story, one you can dream about forever” (RT Book Reviews).",['Judith McNaught'],http://books.google.com/books/content?id=WxsmDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=WxsmDQAAQBAJ&printsec=frontcover&dq=Whitney,+My+Love&hl=&cd=1&source=gbs_api",Simon and Schuster,2016-11-01,https://play.google.com/store/books/details?id=WxsmDQAAQBAJ&source=gbs_api,['Fiction'],341,3.9853372434017595,"Here are the chosen tags:

### **Genres**

- Romance
- Historical Fiction

### **Themes**

- Love
- Redemption
- Identity
- Power
- Forbidden Love
- Good vs. Evil

### **Settings**

- Historical Era
- England
- Paris
- Medieval

### **Tone/Mood**

- Romantic
- Emotional
- Uplifting
- Inspirational

### **Audience**

- Adult

### **Writing Style**

- Third-Person Narrative
- Descriptive
- Lyrical

### **Features**

- Historical Romance
- Forbidden Love
- Power Struggle
- Social Class

### **Time Period**

- Historical Era",,,,,,,,
The Tipping Point: How Little Things Can Make a Big Difference (Wheeler Compass),An introduction to the Tipping Point theory explains how minor changes in ideas and products can increase their popularity and how small adjustments in an individual's immediate environment can alter group behavior.,['Malcolm Gladwell'],http://books.google.com/books/content?id=w6V_PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=w6V_PwAACAAJ&dq=The+Tipping+Point:+How+Little+Things+Can+Make+a+Big+Difference+(Wheeler+Compass)&hl=&cd=1&source=gbs_api,"Wheeler Publishing, Incorporated",2003-01-01,http://books.google.com/books?id=w6V_PwAACAAJ&dq=The+Tipping+Point:+How+Little+Things+Can+Make+a+Big+Difference+(Wheeler+Compass)&hl=&source=gbs_api,['Reference'],1295,4.128185328185328,"Here are the chosen tags:

### Genres

- Non-Fiction

### Themes

- Self-Improvement
- Social Change
- Ideas

### Settings

- Contemporary

### Tone/Mood

- Inspirational
- Thought-Provoking

### Audience

- Adult

### Writing Style

- Informative
- Descriptive
- Analytical",Non-Fiction,"Self-Improvement, Social Change, Ideas",Contemporary,"Inspirational, Thought-Provoking",Adult,"Informative, Descriptive, Analytical",,
"Women Who Make the World Worse : and How Their Radical Feminist Assault Is Ruining Our Schools, Families, Military, and Sports","An analysis of how feminists may be compromising American institutions seeks to establish a difference between ""pro-female"" and ""anti-male"" feminism, citing the influences of such figures as Hillary Clinton, Gloria Steinem, and Maureen Dowd.","['""Kate OBeirne""']",http://books.google.com/books/content?id=e0EFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=e0EFAQAAIAAJ&q=Women+Who+Make+the+World+Worse+:+and+How+Their+Radical+Feminist+Assault+Is+Ruining+Our+Schools,+Families,+Military,+and+Sports&dq=Women+Who+Make+the+World+Worse+:+and+How+Their+Radical+Feminist+Assault+Is+Ruining+Our+Schools,+Families,+Military,+and+Sports&hl=&cd=1&source=gbs_api",,2006-01-01,"http://books.google.com/books?id=e0EFAQAAIAAJ&dq=Women+Who+Make+the+World+Worse+:+and+How+Their+Radical+Feminist+Assault+Is+Ruining+Our+Schools,+Families,+Military,+and+Sports&hl=&source=gbs_api",['Social Science'],358,3.7402234636871508,"Here are the chosen tags:

### Genres

* Non-Fiction
* Memoir
* Biography

### Themes

* Power
* Identity
* Betrayal
* Redemption
* Freedom
* Loss
* Revenge

### Settings

* Contemporary

### Tone/Mood

* Suspenseful
* Emotional
* Dark

### Audience

* Adult

### Writing Style

* First-Person Narrative

### Features

* None

### Time Period

* Contemporary","Non-Fiction, Memoir, Biography","Power, Identity, Betrayal, Redemption, Freedom, Loss, Revenge",Contemporary,"Suspenseful, Emotional, Dark",Adult,First-Person Narrative,None,Contemporary
Ham on Rye,"“Wordsworth, Whitman, William Carlos Williams, and the Beats in their respective generations moved poetry toward a more natural language. Bukowski moved it a little farther.” –Los Angeles Times Book Review In what is widely hailed as the best of his many novels, Charles Bukowski details the long, lonely years of his own hardscrabble youth in the raw voice of alter ego Henry Chinaski. From a harrowingly cheerless childhood in Germany through acne-riddled high school years and his adolescent discoveries of alcohol, woman, and the Los Angeles Public Library's collection of D.H. Lawrence, Ham on Rye offers a crude, brutal, and savagely funny portrait of an outcast's coming-of-age during the desperate days of the Great Depression.",['Charles Bukowski'],http://books.google.com/books/content?id=Rv4qbAACPzYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Rv4qbAACPzYC&printsec=frontcover&dq=Ham+on+Rye&hl=&cd=1&source=gbs_api,Harper Collins,2009-10-13,https://play.google.com/store/books/details?id=Rv4qbAACPzYC&source=gbs_api,['Fiction'],304,4.480263157894737,"Here are the chosen tags for the book ""Ham on Rye"" by Charles Bukowski:

### Genres

- Literary Fiction
- Autobiographical Fiction
- Coming-of-Age
- Realistic Fiction

### Themes

- Coming of Age
- Identity
- Rebellion
- Alienation
- Desperation
- Poverty
- Family

### Settings

- Contemporary
- Los Angeles
- Germany (childhood)

### Tone/Mood

- Dark
- Humorous
- Sarcastic
- Bitter
- Desperate

### Audience

- Adult
- Young Adult

### Writing Style

- First-Person Narrative
- Stream of Consciousness
- Descriptive
- Lyrical
- Raw and Honest","Literary Fiction, Autobiographical Fiction, Coming-of-Age, Realistic Fiction","Coming of Age, Identity, Rebellion, Alienation, Desperation, Poverty, Family","Contemporary, Los Angeles, Germany (childhood)","Dark, Humorous, Sarcastic, Bitter, Desperate","Adult, Young Adult","First-Person Narrative, Stream of Consciousness, Descriptive, Lyrical, Raw and Honest",,
Harry Potter & the Prisoner of Azkaban,"Through classroom activities, wizard rock concerts, and organizations like the Harry Potter Alliance, Harry Potter fans are using creativity to positively impact the world. This collection of essays and interviews examines how playful fandom--from fanfiction to Muggle quidditch, cosplay, role-playing games, and even Harry Potter burlesque--not only reimagines the canon but also challenges consumerism, questions notions of identity, and fosters participatory culture. The contributors explore issues applicable to fan studies and performance studies at large, such as the role of performance, the nature of community, and questions of representation and ownership in the digital age. Presented in three parts, the essays discuss discrepancies between sanctioned versions of Harry Potter and fan creations, the reenactment and reinterpretation of the original narrative in fan performance, and collaborative and participatory performances that break down the boundaries between actors and audiences.",['Lisa S. Brenner'],http://books.google.com/books/content?id=LbnwCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LbnwCQAAQBAJ&printsec=frontcover&dq=Harry+Potter&hl=&cd=1&source=gbs_api,McFarland,2015-06-11,http://books.google.com/books?id=LbnwCQAAQBAJ&dq=Harry+Potter&hl=&source=gbs_api,['Literary Criticism'],1520,4.769736842105263,"Here are the chosen tags:

### Genres

* Fantasy
* Young Adult

### Themes

* Coming of Age
* Friendship
* Good vs. Evil
* Redemption
* Courage
* Identity

### Settings

* High Fantasy World
* Alternate Universe

### Tone/Mood

* Suspenseful
* Emotional
* Inspirational
* Uplifting

### Audience

* Young Adult

### Writing Style

* Third-Person Narrative
* Plot-Driven

### Features

* Magic
* Supernatural Elements

### Time Period

* Timeless","Fantasy, Young Adult","Coming of Age, Friendship, Good vs. Evil, Redemption, Courage, Identity","High Fantasy World, Alternate Universe","Suspenseful, Emotional, Inspirational, Uplifting",Young Adult,"Third-Person Narrative, Plot-Driven","Magic, Supernatural Elements",Timeless
The Adventures of Huckleberry Finn (Courage Literary Classics),"Not that Hemingway was correct, but he did write in 1935: ""All modern American literature comes from one book by Mark Twain called Huckleberry Finn;” unless we are to interpret the adjective 'modern' as 'unadorned.' But Hemingway's remark somehow points to the importance of Mark Twain's breezy, fresh, and straight-forward style.Huckleberry Finn is a poor child whose only family is “Pap” —his abusive drunk father. Huck runs away, and meets Jim, a slave, who is also running away. So, here we have from the very beginning of the novel, two heavy topics: child abuse and slavery. Although Mark Twain has been criticized for his stereotypical presentation Jim, he —a white author— imbues Jim with much humanity in an era in which slaves were considered sub-human. Had any other writer dare do such a thing? Dis anyone else besides Jane Austen write about the slave trade? It took courage to deal with such themes. But Mark Twain also threw other ethical dilemmas into the fray: It is right to obey wrong laws? Should the individual suffer to preserve society?Hence the universal importance of the book.To do honor to the original version, my editorial corrections are minimal. The language —including the dialects— have been left untouched, as well as terms today deemed offensive.",['Mark Twain' ' Marciano Guerrero'],http://books.google.com/books/content?id=xU7QoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=xU7QoQEACAAJ&dq=The+Adventures+of+Huckleberry+Finn+(Courage+Literary+Classics)&hl=&cd=1&source=gbs_api,Createspace Independent Pub,2014-09-27,http://books.google.com/books?id=xU7QoQEACAAJ&dq=The+Adventures+of+Huckleberry+Finn+(Courage+Literary+Classics)&hl=&source=gbs_api,['Fiction'],606,4.308580858085809,"Here are the tags that fit best:

### Genres

- Classic
- Adventure
- Coming of Age
- Historical Fiction

### Themes

- Courage
- Identity
- Family
- Good vs. Evil
- Redemption
- Slavery
- Abuse
- Morality
- Power
- Social Justice

### Settings

- Historical Era (American South)
- Rural

### Tone/Mood

- Serious
- Reflective
- Emotional
- Suspenseful
- Dramatic

### Audience

- Adult
- Young Adult

### Writing Style

- Third-Person Narrative
- Stream of Consciousness
- Descriptive
- Lyrical","Classic, Adventure, Coming of Age, Historical Fiction","Courage, Identity, Family, Good vs. Evil, Redemption, Slavery, Abuse, Morality, Power, Social Justice","Historical Era (American South), Rural","Serious, Reflective, Emotional, Suspenseful, Dramatic","Adult, Young Adult","Third-Person Narrative, Stream of Consciousness, Descriptive, Lyrical",,
Shopaholic & Sister,"Financial journalist Rebecca Bloomwood seeks solace from the boredom and pressures in life with her shopping, a solution that brings her close to financial disaster, until she encounters a story that will change her life.",['Sophie Kinsella'],http://books.google.com/books/content?id=Pw_p7-exjX0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Pw_p7-exjX0C&printsec=frontcover&dq=Shopaholic&hl=&cd=1&source=gbs_api,Dell,2009-01-01,http://books.google.com/books?id=Pw_p7-exjX0C&dq=Shopaholic&hl=&source=gbs_api,['Fiction'],499,3.773547094188377,"Here are the tags that fit best:

### Genres

- Contemporary
- Romance
- Comedy

### Themes

- Coming of Age
- Friendship
- Love
- Identity
- Self-Discovery
- Redemption
- Family
- Power
- Loss

### Settings

- Contemporary
- Urban

### Tone/Mood

- Humorous
- Emotional
- Inspirational
- Uplifting

### Audience

- Adult
- Young Adult

### Writing Style

- First-Person Narrative
- Dialogue-Driven
- Lyrical

### Features

- None

### Time Period

- Contemporary","Contemporary, Romance, Comedy","Coming of Age, Friendship, Love, Identity, Self-Discovery, Redemption, Family, Power, Loss","Contemporary, Urban","Humorous, Emotional, Inspirational, Uplifting","Adult, Young Adult","First-Person Narrative, Dialogue-Driven, Lyrical",None,Contemporary
I Capture the Castle,"“Every time I meet someone who also loves I Capture the Castle, I know we must be kindred spirits.” —from the new foreword by Jenny Han, the New York Times bestselling author of To All the Boys I’ve Loved Before. A beautiful, deluxe edition of Dodie Smith’s beloved novel, I Capture the Castle, featuring a new foreword by New York Times bestselling author Jenny Han, a stunning new cover, and designed endpapers that is perfect for devoted readers and those discovering this timeless story for the first time. Seventeen-year-old Cassandra Mortmain and her family may live in a ramshackle old English castle, but that’s about as romantic as her life gets. While her beautiful older sister, Rose, longs to live in a Jane Austen novel, Cassandra knows that meeting an eligible man to marry isn’t in either of their futures when their home is crumbling and they have to sell their furniture for food. So Cassandra instead strives to hone her writing skills in her journals. Until one day when their new landlords move in, which include two (very handsome) sons, and the lives of the Mortmain sisters change forever. Through Cassandra’s sharply funny, yet poignant, journal entries, she chronicles the great changes that take place within the castle’s walls, and her own first descent into love. By the time she pens her final entry, she has “captured the castle” – and the heart of the reader – in one of literature’s most enchanting novels. “This book has one of the most charismatic narrators I've ever met.” —J.K. Rowling, bestselling author of the Harry Potter series",['Dodie Smith'],http://books.google.com/books/content?id=_X1EDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_X1EDgAAQBAJ&printsec=frontcover&dq=I+Capture+the+Castle&hl=&cd=1&source=gbs_api,St. Martin's Griffin,2017-10-10,https://play.google.com/store/books/details?id=_X1EDgAAQBAJ&source=gbs_api,['Young Adult Fiction'],456,4.5131578947368425,"Here are the tags that fit best for the book ""I Capture the Castle"" by Dodie Smith:

**Genres**

* Romance
* Young Adult
* Historical Fiction
* Coming of Age

**Themes**

* Coming of Age
* Love
* Family
* Identity
* Social Class

**Settings**

* Historical Era (1920s)
* England

**Tone/Mood**

* Humorous
* Emotional
* Uplifting
* Romantic

**Audience**

* Young Adult
* Adult

**Writing Style**

* First-Person Narrative
* Descriptive
* Lyrical

**Features**

* None

**Time Period**

* 1920s",,,,,,,,
